CNPJ,EMPRESA,CODIGO
02.642.136/0001-20,AGROPECUÁRIA PONTAL DO PARANAITA S.A.,520080
02.907.052/0001-71,AGROPECUÁRIA RICARDO FRANCO S.A.,519200
04.601.738/0001-65,AGROPECUÁRIA RIO BRILHANTE S/A,509388
02.358.271/0001-49,AGROPECUÁRIA RIO URUARÁ S.A.,519804
05.120.340/0001-70,AGROPECUÁRIA SÃO LUIZ LTDA,506397
15.947.450/0001-63,AGROPECUARIA SÃO SEBASTIÃO DO ARAGUAIA S/A,514691
03.143.716/0001-36,AGROPECUARIA TAMAKAVY SA,213
03.143.716/0001-36,AGROPECUARIA TAMAKAVY SA,520640
02.033.525/0001-59,AGROPECUÁRIA TERRA BRAVIA S/A,518484
15.525.447/0001-51,AGROPECUÁRIA VALE DO RIO ACRE S/A,505277
16.688.384/0001-17,AGROPEMA AGROPEC MADRAS SA,508640
06.938.989/0001-65,AGROPIL AGROPEC P IBIAPABA SA,505382
31.498.009/0001-06,AGROPIPER SA,508659
11.430.550/0001-67,AGROPISA AGROPEC DO PIAUI S/A,503649
05.423.587/0001-65,AGROSETE PEC E IND SA,514012
04.971.057/0001-99,AGROTEP SA AGROPEC,511340
15.255.383/0001-16,AGROVAS AGROPEC VALE DO SUIA SA,518468
17.998.493/0001-01,AGROVERDE SA,501409
12.923.546/0001-01,AGROVERDES AGRICOLA SA,500763
31.495.252/0001-62,AGUA PEDRA AZUL SA,513440
07.638.562/0001-04,AGUA VERDE AGROPEC SA AVASA,507636
15.178.767/0001-82,AGUA VIVA PRAIA HOTEL SA,515876
11.742.087/0001-99,AGUANAMBI INDL SA,506877
27.157.474/0001-06,ÁGUAS DE TERESINA SANEAMENTO SPE S.A.,25615
04.089.570/0001-50,AGUAS GUARIROBA S.A.,23442
10.665.743/0001-34,AGUISA-AGROPEC GUIMARAES SA,502499
10.665.743/0001-34,AGUISA-AGROPEC GUIMARAES SA,520128
09.594.796/0001-22,AGV HOLDING S/A,21806
60.830.296/0001-08,AIR LIQUIDE,9288
17.059.049/0001-12,AJAJ SA AGROPECUARIA,516260
06.019.343/0001-84,AJEFISA-AGROPEC JOSE A F SA,513040
24.479.438/0001-62,ALAISA ALAGOAS AGRIC IRRIG.,515248
02.783.422/0001-06,ALBAE PARTICIPACOES SA,18074
57.912.396/0001-60,ALBATROZ SA,13242
10.867.026/0001-95,ALCACE NE SA EQUIP ELETRICOS,511056
08.240.673/0001-20,ALCALIS RIO GRANDE DO NORTE SA,15067
08.240.673/0001-20,ALCALIS RIO GRANDE DO NORTE SA,510092
60.561.800/0001-03,ALCAN ALUMINIO DO BRASIL SA,256
56.994.791/0001-77,AL-CAR EMPREENDIMENTOS E PARTICIPAÇÕES SA,17957
08.486.375/0001-15,ALCLOR QUIM DE ALAGOAS SA,503320
11.696.820/0001-86,ALCOA ALUMINIO DO NE SA,500402
23.637.697/0001-01,ALCOA ALUMINIO SA,264
39.326.590/0001-82,ALDEIA DOS REIS TURISMO SA,516724
02.217.319/0001-07,ALEF SA,16705
24.278.582/0001-30,ALENAIDE AGRICOLA SA,516139
24.278.582/0001-30,ALENAIDE AGRICOLA SA,519758
17.167.396/0001-69,ALFA HOLDINGS SA,9954
15.167.984/0001-77,ALFA NORDESTE SA INDUSTRIA DO VESTUARIO,272
92.689.173/0001-87,ALFRED SA COMERCIO DO VESTUARIO,280
71.208.516/0001-74,ALGAR TELECOM S/A,21032
63.764.435/0001-22,ALGONORTE ALGODOEIRA NORTE SA,514624
06.082.980/0001-03,ALIANSCE SHOPPING CENTERS S/A,21300
05.878.397/0001-32,ALIANSCE SONAE SHOPPING CENTERS S.A.,22357
12.616.496/0001-01,ALIM PROTEICOS DO NORTE SA,510599
02.997.713/0001-05,ALIMENTA PARTICIPAÇÕES E SERVIÇOS SA,18260
04.133.906/0001-35,ALIMENTICIO INTERN DE CACAU SA,509248
33.826.637/0001-90,ALIPAR ALIMENTOS E PARTS SA,14079
02.783.425/0001-40,ALIUM PARTICIPAÇÕES SA,18082
04.965.794/0001-89,ALL FAMA INDL SA,517321
04.965.794/0001-89,ALL FAMA INDL SA,520225
20.247.322/0001-47,ALLIED TECNOLOGIA S.A.,25330
08.648.295/0001-19,ALLIS PARTICIPAÇÕES S.A.,20850
60.537.263/0001-66,ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.,24953
30.965.065/0001-32,ALMASA ALCOOLEIRA MATEENSE SA,507865
09.018.953/0001-51,ALMASA ALIMS DO MA SA,509418
18.012.393/0001-19,ALMEC INDUSTRIAS MECANICA SA,302
